sample_index,image_id,relative_path,target_class_id,target_class_name,openai_clip_category,eva02_clip_category,openai_clip_baseline_top1_class_id,openai_clip_baseline_top1_class_name,openai_clip_fudd_top1_class_id,openai_clip_fudd_top1_class_name,openai_clip_baseline_target_rank,openai_clip_fudd_target_rank,eva02_clip_baseline_top1_class_id,eva02_clip_baseline_top1_class_name,eva02_clip_fudd_top1_class_id,eva02_clip_fudd_top1_class_name,eva02_clip_baseline_target_rank,eva02_clip_fudd_target_rank
27,54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,3,2,2,Sooty Albatross,2,Sooty Albatross,2,2
28,57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,Black-footed Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,2,2
29,59,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,Black-footed Albatross,both_wrong,both_correct,2,Sooty Albatross,2,Sooty Albatross,2,2,0,Black-footed Albatross,0,Black-footed Albatross,1,1
30,61,002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,1,Laysan Albatross,recovered,both_correct,71,Pomarine Jaeger,1,Laysan Albatross,2,1,1,Laysan Albatross,1,Laysan Albatross,1,1
31,63,002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,1,Laysan Albatross,2,1
32,65,002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
33,68,002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
34,70,002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
35,71,002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,1,Laysan Albatross,2,1
36,76,002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
37,79,002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
38,82,002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,Laysan Albatross,both_wrong,both_correct,2,Sooty Albatross,2,Sooty Albatross,2,2,1,Laysan Albatross,1,Laysan Albatross,1,1
39,83,002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,1,Laysan Albatross,2,1
40,85,002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
41,87,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,Laysan Albatross,both_wrong,both_wrong,60,Heermann Gull,60,Heermann Gull,,,83,Red-legged Kittiwake,83,Red-legged Kittiwake,,
42,88,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,1,Laysan Albatross,both_wrong,both_wrong,2,Sooty Albatross,2,Sooty Albatross,3,3,2,Sooty Albatross,2,Sooty Albatross,4,4
43,90,002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,1,Laysan Albatross,2,1
44,91,002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,1,Laysan Albatross,both_wrong,recovered,64,Slaty-backed Gull,58,California Gull,,,0,Black-footed Albatross,1,Laysan Albatross,3,1
45,92,002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,1,Laysan Albatross,both_correct,both_wrong,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,3,2
46,93,002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
47,94,002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,1,Laysan Albatross,2,1
48,95,002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,1,Laysan Albatross,both_wrong,both_correct,43,Frigatebird,43,Frigatebird,2,2,1,Laysan Albatross,1,Laysan Albatross,1,1
49,98,002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,2,Sooty Albatross,1,Laysan Albatross,3,1
50,100,002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,1,Laysan Albatross,both_correct,both_wrong,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,3,2
51,101,002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,Laysan Albatross,both_wrong,recovered,71,Pomarine Jaeger,2,Sooty Albatross,2,2,0,Black-footed Albatross,1,Laysan Albatross,2,1
52,103,002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
53,106,002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
54,107,002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
55,108,002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,1,Laysan Albatross,both_wrong,recovered,71,Pomarine Jaeger,2,Sooty Albatross,2,2,0,Black-footed Albatross,1,Laysan Albatross,2,1
56,112,002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,1,Laysan Albatross,both_correct,both_wrong,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
57,114,002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,0,Black-footed Albatross,1,Laysan Albatross,2,1
58,118,002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,1,Laysan Albatross,both_correct,both_correct,1,Laysan Albatross,1,Laysan Albatross,1,1,1,Laysan Albatross,1,Laysan Albatross,1,1
59,119,002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,Laysan Albatross,both_correct,recovered,1,Laysan Albatross,1,Laysan Albatross,1,1,2,Sooty Albatross,1,Laysan Albatross,3,1
60,126,003.Sooty_Albatross/Sooty_Albatross_0003_1078.jpg,2,Sooty Albatross,both_correct,both_wrong,2,Sooty Albatross,2,Sooty Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
61,129,003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,2,Sooty Albatross,both_wrong,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,6,6,0,Black-footed Albatross,0,Black-footed Albatross,2,2
62,130,003.Sooty_Albatross/Sooty_Albatross_0071_1116.jpg,2,Sooty Albatross,recovered,both_correct,0,Black-footed Albatross,2,Sooty Albatross,3,1,2,Sooty Albatross,2,Sooty Albatross,1,1
63,132,003.Sooty_Albatross/Sooty_Albatross_0030_1122.jpg,2,Sooty Albatross,recovered,both_correct,71,Pomarine Jaeger,2,Sooty Albatross,2,1,2,Sooty Albatross,2,Sooty Albatross,1,1
64,133,003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,2,Sooty Albatross,both_wrong,both_wrong,71,Pomarine Jaeger,71,Pomarine Jaeger,2,2,70,Long-tailed Jaeger,70,Long-tailed Jaeger,4,4
65,134,003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,2,Sooty Albatross,both_correct,both_wrong,2,Sooty Albatross,2,Sooty Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
66,135,003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,2,Sooty Albatross,both_correct,both_correct,2,Sooty Albatross,2,Sooty Albatross,1,1,2,Sooty Albatross,2,Sooty Albatross,1,1
67,139,003.Sooty_Albatross/Sooty_Albatross_0024_1161.jpg,2,Sooty Albatross,both_correct,both_correct,2,Sooty Albatross,2,Sooty Albatross,1,1,2,Sooty Albatross,2,Sooty Albatross,1,1
68,144,003.Sooty_Albatross/Sooty_Albatross_0005_796342.jpg,2,Sooty Albatross,both_correct,both_wrong,2,Sooty Albatross,2,Sooty Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
69,146,003.Sooty_Albatross/Sooty_Albatross_0042_1210.jpg,2,Sooty Albatross,both_wrong,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,2,2,0,Black-footed Albatross,0,Black-footed Albatross,2,2
70,147,003.Sooty_Albatross/Sooty_Albatross_0046_1211.jpg,2,Sooty Albatross,recovered,both_correct,0,Black-footed Albatross,2,Sooty Albatross,2,1,2,Sooty Albatross,2,Sooty Albatross,1,1
71,149,003.Sooty_Albatross/Sooty_Albatross_0049_796350.jpg,2,Sooty Albatross,recovered,both_wrong,71,Pomarine Jaeger,2,Sooty Albatross,3,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
72,150,003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,2,Sooty Albatross,both_correct,both_wrong,2,Sooty Albatross,2,Sooty Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
73,154,003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg,2,Sooty Albatross,both_wrong,both_wrong,0,Black-footed Albatross,0,Black-footed Albatross,3,2,71,Pomarine Jaeger,0,Black-footed Albatross,3,3
74,155,003.Sooty_Albatross/Sooty_Albatross_0029_796357.jpg,2,Sooty Albatross,both_correct,both_correct,2,Sooty Albatross,2,Sooty Albatross,1,1,2,Sooty Albatross,2,Sooty Albatross,1,1
75,156,003.Sooty_Albatross/Sooty_Albatross_0069_796358.jpg,2,Sooty Albatross,recovered,both_correct,0,Black-footed Albatross,2,Sooty Albatross,2,1,2,Sooty Albatross,2,Sooty Albatross,1,1
76,157,003.Sooty_Albatross/Sooty_Albatross_0020_796359.jpg,2,Sooty Albatross,both_correct,both_correct,2,Sooty Albatross,2,Sooty Albatross,1,1,2,Sooty Albatross,2,Sooty Albatross,1,1
77,161,003.Sooty_Albatross/Sooty_Albatross_0076_796365.jpg,2,Sooty Albatross,both_correct,both_correct,2,Sooty Albatross,2,Sooty Albatross,1,1,2,Sooty Albatross,2,Sooty Albatross,1,1
78,162,003.Sooty_Albatross/Sooty_Albatross_0004_796366.jpg,2,Sooty Albatross,recovered,both_wrong,71,Pomarine Jaeger,2,Sooty Albatross,2,1,71,Pomarine Jaeger,71,Pomarine Jaeger,4,3
79,163,003.Sooty_Albatross/Sooty_Albatross_0065_796367.jpg,2,Sooty Albatross,recovered,degraded,71,Pomarine Jaeger,2,Sooty Albatross,2,1,2,Sooty Albatross,0,Black-footed Albatross,1,2
80,165,003.Sooty_Albatross/Sooty_Albatross_0007_796372.jpg,2,Sooty Albatross,both_correct,recovered,2,Sooty Albatross,2,Sooty Albatross,1,1,71,Pomarine Jaeger,2,Sooty Albatross,2,1
81,167,003.Sooty_Albatross/Sooty_Albatross_0051_796374.jpg,2,Sooty Albatross,recovered,both_correct,71,Pomarine Jaeger,2,Sooty Albatross,2,1,2,Sooty Albatross,2,Sooty Albatross,1,1
82,169,003.Sooty_Albatross/Sooty_Albatross_0067_796376.jpg,2,Sooty Albatross,both_correct,both_wrong,2,Sooty Albatross,2,Sooty Albatross,1,1,0,Black-footed Albatross,0,Black-footed Albatross,2,2
83,170,003.Sooty_Albatross/Sooty_Albatross_0066_796382.jpg,2,Sooty Albatross,recovered,both_wrong,71,Pomarine Jaeger,2,Sooty Albatross,2,1,71,Pomarine Jaeger,71,Pomarine Jaeger,3,2
84,171,003.Sooty_Albatross/Sooty_Albatross_0036_796387.jpg,2,Sooty Albatross,both_correct,both_wrong,2,Sooty Albatross,2,Sooty Albatross,1,1,5,Least Auklet,5,Least Auklet,2,2
85,173,003.Sooty_Albatross/Sooty_Albatross_0006_796390.jpg,2,Sooty Albatross,recovered,both_correct,71,Pomarine Jaeger,2,Sooty Albatross,2,1,2,Sooty Albatross,2,Sooty Albatross,1,1
86,175,003.Sooty_Albatross/Sooty_Albatross_0002_796395.jpg,2,Sooty Albatross,both_wrong,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,2,2,2,Sooty Albatross,2,Sooty Albatross,1,1
87,178,003.Sooty_Albatross/Sooty_Albatross_0013_796402.jpg,2,Sooty Albatross,both_wrong,both_correct,0,Black-footed Albatross,0,Black-footed Albatross,3,2,2,Sooty Albatross,2,Sooty Albatross,1,1
88,179,004.Groove_billed_Ani/Groove_Billed_Ani_0068_1538.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
89,180,004.Groove_billed_Ani/Groove_Billed_Ani_0094_1540.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
90,183,004.Groove_billed_Ani/Groove_Billed_Ani_0080_1549.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
91,185,004.Groove_billed_Ani/Groove_Billed_Ani_0037_1560.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
92,186,004.Groove_billed_Ani/Groove_Billed_Ani_0017_1561.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
93,190,004.Groove_billed_Ani/Groove_Billed_Ani_0031_1588.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
94,191,004.Groove_billed_Ani/Groove_Billed_Ani_0107_1590.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
95,192,004.Groove_billed_Ani/Groove_Billed_Ani_0035_1591.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
96,193,004.Groove_billed_Ani/Groove_Billed_Ani_0109_1592.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
97,198,004.Groove_billed_Ani/Groove_Billed_Ani_0075_1617.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
98,199,004.Groove_billed_Ani/Groove_Billed_Ani_0029_1620.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
99,200,004.Groove_billed_Ani/Groove_Billed_Ani_0108_1639.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
100,201,004.Groove_billed_Ani/Groove_Billed_Ani_0100_1646.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
101,205,004.Groove_billed_Ani/Groove_Billed_Ani_0046_1663.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
102,207,004.Groove_billed_Ani/Groove_Billed_Ani_0053_1672.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
103,208,004.Groove_billed_Ani/Groove_Billed_Ani_0088_1678.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
104,210,004.Groove_billed_Ani/Groove_Billed_Ani_0082_1697.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
105,211,004.Groove_billed_Ani/Groove_Billed_Ani_0101_1700.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
106,212,004.Groove_billed_Ani/Groove_Billed_Ani_0010_1704.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
107,214,004.Groove_billed_Ani/Groove_Billed_Ani_0040_1715.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
108,217,004.Groove_billed_Ani/Groove_Billed_Ani_0074_1730.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
109,219,004.Groove_billed_Ani/Groove_Billed_Ani_0059_1480.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
110,223,004.Groove_billed_Ani/Groove_Billed_Ani_0005_1750.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
111,226,004.Groove_billed_Ani/Groove_Billed_Ani_0014_1755.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
112,229,004.Groove_billed_Ani/Groove_Billed_Ani_0060_1505.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
113,231,004.Groove_billed_Ani/Groove_Billed_Ani_0087_1765.jpg,3,Groove-billed Ani,both_wrong,both_wrong,8,Brewer Blackbird,26,Shiny Cowbird,3,5,102,Sayornis,102,Sayornis,3,2
114,233,004.Groove_billed_Ani/Groove_Billed_Ani_0062_1767.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
115,234,004.Groove_billed_Ani/Groove_Billed_Ani_0092_1516.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
116,236,004.Groove_billed_Ani/Groove_Billed_Ani_0009_1522.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
117,237,004.Groove_billed_Ani/Groove_Billed_Ani_0078_1780.jpg,3,Groove-billed Ani,both_correct,both_correct,3,Groove-billed Ani,3,Groove-billed Ani,1,1,3,Groove-billed Ani,3,Groove-billed Ani,1,1
118,239,005.Crested_Auklet/Crested_Auklet_0006_1813.jpg,4,Crested Auklet,both_correct,both_correct,4,Crested Auklet,4,Crested Auklet,1,1,4,Crested Auklet,4,Crested Auklet,1,1
